POSTE;DATE;RR1;QRR1;DRR1;QDRR1;HNEIGEF;QHNEIGEF;NEIGETOT;QNEIGETOT;T;QT;TD;QTD;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;DG;QDG;T10;QT10;T20;QT20;T50;QT50;T100;QT100;TNSOL;QTNSOL;TN50;QTN50;TCHAUSSEE;QTCHAUSSEE;TW;QTW;PSTAT;QPSTAT;PMER;QPMER;GEOP;QGEOP;PMERMIN;QPMERMIN;FF;QFF;DD;QDD;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2;QFF2;DD2;QDD2;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;U;QU;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UABS;QUABS;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;DHUMEC;QDHUMEC;TSV;QTSV;ENTH;QENTH;INS;QINS;GLO;QGLO;DIR;QDIR;DIF;QDIF;GLO2;QGLO2;UV;QUV;INFRAR;QINFRAR;UV_INDICE;QUV_INDICE;N;QN;NBAS;QNBAS;CL;QCL;CM;QCM;CH;QCH;N1;QN1;C1;QC1;B1;QB1;N2;QN2;C2;QC2;B2;QB2;N3;QN3;B3;QB3;C3;QC3;N4;QN4;C4;QC4;B4;QB4;WW;QWW;VV;QVV;DVV200;QDVV200;W1;QW1;W2;QW2;SOL;QSOL;SOLNG;QSOLNG;TSNEIGE;QTSNEIGE;TUBENEIGE;QTUBENEIGE;ESNEIGE;QESNEIGE;HNEIGEFI3;QHNEIGEFI3;HNEIGEFI1;QHNEIGEFI1;TMER;QTMER;VVMER;QVVMER;ETATMER;QETATMER;DIRHOULE;QDIRHOULE;TLAGON;QTLAGON;UV2;QUV2;INS2;QINS2;INFRAR2;QINFRAR2;DIR2;QDIR2;DIF2;QDIF2
34154001;2018112901;0,0;1;0;9;;;;;6,2;1;4,5;9;6,0;1;11;9;6,5;1;1;9;0;9;8,9;9;9,9;9;12,0;9;15,2;9;3,8;9;4,9;9;7,5;9;5,5;9;1021,6;1;1022,6;1;;;1022,5;1;2,0;1;20;1;2,7;1;10;1;47;9;2,1;1;350;1;1;9;;;;;;;;;;;2,7;1;10;1;100;9;89;1;86;1;1;9;89;1;20;9;6,5;9;0;9;60;9;;;8,4;9;19,4;1;0;9;0;9;;;;;0,0;9;;;;;;;8;9;8;9;;;;;;;8;9;;;7080;9;;;;;;;;;;;;;;;;;;;0;9;18228;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9;;;;;;
34154001;2018112902;0,0;1;0;9;;;;;6,9;1;5,0;9;6,2;1;101;9;6,9;1;200;9;0;9;8,9;9;9,9;9;12,0;9;15,2;9;3,6;9;4,9;9;7,5;9;6,1;9;1021,6;1;1022,6;1;;;1022,5;1;2,9;1;20;1;3,6;1;20;1;156;9;2,9;1;20;1;157;9;;;;;;;;;;;3,5;1;20;1;156;9;88;1;88;1;151;9;90;1;111;9;6,7;9;0;9;60;9;;;8,7;9;20,6;1;0;9;0;9;;;;;0,0;9;;;;;;;8;9;8;9;;;;;;;8;9;;;6480;9;;;;;;;;;;;;;;;;;;;0;9;34438;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9;;;;;;
34154001;2018112903;0,0;1;0;9;;;;;6,1;1;4,3;9;6,1;1;241;9;6,8;1;201;9;0;9;8,9;9;9,8;9;12,0;9;15,2;9;4,6;9;5,3;9;7,3;9;5,3;9;1021,3;1;1022,3;1;;;1022,3;1;3,1;1;20;1;5,2;1;30;1;229;9;3,3;1;20;1;244;9;;;;;;;;;;;5,1;1;30;1;229;9;88;1;87;1;207;9;88;1;201;9;6,4;9;0;9;60;9;;;8,3;9;19,0;1;0;9;0;9;;;;;0,0;9;;;;;;;;;0;9;;;;;;;;;;;7800;9;;;;;;;;;;;;;;;;;;;0;9;33973;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9;;;;;;
34154001;2018112904;0,0;1;0;9;;;;;6,0;1;4,3;9;5,9;1;357;9;6,3;1;314;9;0;9;8,9;9;9,8;9;12,0;9;15,1;9;4,5;9;5,1;9;7,2;9;5,3;9;1021,2;1;1022,2;1;;;1022,0;1;3,4;1;10;1;4,6;1;20;1;336;9;3,6;1;20;1;339;9;;;;;;;;;;;4,5;1;20;1;336;9;89;1;87;1;318;9;89;1;359;9;6,4;9;0;9;60;9;;;8,3;9;19,0;1;0;9;0;9;;;;;0,0;9;;;;;;;;;0;9;;;;;;;;;;;7800;9;;;;;;;;;;;;;;;;;;;0;9;35795;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9;;;;;;
34154001;2018112905;0,0;1;0;9;;;;;6,0;1;4,1;9;5,8;1;413;9;6,1;1;450;9;0;9;8,8;9;9,7;9;12,0;9;15,1;9;4,2;9;4,8;9;7,1;9;5,2;9;1021,2;1;1022,2;1;;;1022,2;1;2,8;1;20;1;4,8;1;10;1;441;9;3,7;1;10;1;428;9;;;;;;;;;;;4,7;1;10;1;441;9;88;1;88;1;402;9;89;1;401;9;6,4;9;0;9;60;9;;;8,2;9;18,8;1;0;9;0;9;;;;;0,0;9;;;;;;;;;0;9;;;;;;;;;;;7800;9;;;;;;;;;;;;;;;;;;;0;9;33575;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9;;;;;;
34154001;2018112906;0,0;1;0;9;;;0;9;5,9;1;4,1;9;5,7;1;516;9;6,2;1;532;9;0;9;8,7;9;9,7;9;12,0;9;15,1;9;4,5;9;5,0;9;7,0;9;5,1;9;1021,5;1;1022,5;1;;;1022,2;1;2,8;1;10;1;5,2;1;20;1;530;9;3,4;1;20;1;530;9;;;;;;;;;;;5,0;1;20;1;530;9;88;1;87;1;533;9;88;1;501;9;6,4;9;0;9;60;9;;;8,2;9;18,6;1;0;9;0;9;;;;;0,0;9;;;;;;;;;2;9;;;;;;;2;9;;;840;9;;;;;;;;;;;;;;;;;;;0;9;37643;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9;;;;;;
34154001;2018112907;0,0;1;0;9;;;;;6,4;1;4,3;9;5,9;1;601;9;6,5;1;659;9;0;9;8,7;9;9,6;9;12,0;9;15,1;9;4,6;9;5,1;9;7,0;9;5,5;9;1021,8;1;1022,8;1;;;1022,5;1;2,9;1;20;1;4,6;1;20;1;627;9;3,4;1;20;1;633;9;;;;;;;;;;;4,5;1;20;1;627;9;86;1;86;1;633;9;88;1;601;9;6,4;9;0;9;60;9;;;8,3;9;19,3;1;0;9;0;9;;;;;0,0;9;;;;;;;;;1;9;;;;;;;1;9;;;930;9;;;;;;;;;;;;;;;;;;;0;9;37686;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9;;;;;;
34154001;2018112908;0,0;1;0;9;;;;;7,2;1;5,0;9;6,4;1;701;9;7,2;1;800;9;0;9;8,7;9;9,6;9;12,0;9;15,1;9;5,2;9;5,8;9;7,1;9;6,2;9;1022,0;1;1023,0;1;;;1022,6;1;2,9;1;20;1;4,1;1;20;1;728;9;3,2;1;20;1;744;9;;;;;;;;;;;4,0;1;20;1;728;9;86;1;86;1;701;9;87;1;722;9;6,7;9;0;9;60;9;;;8,7;9;20,8;1;21;9;15;9;;;;;5,0;9;;;;;;;;;0;9;;;;;;;;;;;7800;9;;;;;;;;;;;;;;;;;;;0;9;19459;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;9;;;;;;
34154001;2018112909;0,0;1;0;9;;;;;8,9;1;5,8;9;7,2;1;801;9;8,9;1;900;9;0;9;8,8;9;9,6;9;12,0;9;15,1;9;7,0;9;7,6;9;7,5;9;7,5;9;1022,0;1;1023,0;1;;;1022,9;1;3,2;1;30;1;5,2;1;40;1;838;9;3,4;1;40;1;841;9;;;;;;;;;;;4,9;1;40;1;838;9;81;1;81;1;836;9;86;1;801;9;7,1;9;0;9;60;9;;;9,2;9;23,4;1;3;9;41;9;;;;;29,0;9;;;;;;;;;0;9;;;;;;;;;;;7800;9;;;;;;;;;;;;;;;;;;;0;9;51510;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;9;;;;;;
34154001;2018112910;0,0;1;0;9;;;;;10,6;1;5,8;9;8,9;1;901;9;10,6;1;1000;9;0;9;9,0;9;9,6;9;11,9;9;15,1;9;9,7;9;10,2;9;8,3;9;8,4;9;1022,1;1;1023,1;1;;;1022,8;1;4,3;1;40;1;5,6;1;40;1;954;9;4,3;1;40;1;1000;9;;;;;;;;;;;5,5;1;40;1;956;9;72;1;71;1;958;9;80;1;901;9;7,0;9;0;9;5;9;;;9,2;9;25,0;1;11;9;67;9;;;;;52,0;9;;;;;;;;;0;9;;;;;;;;;;;7800;9;;;;;;;;;;;;;;;;;;;0;9;55533;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;9;;;;;;
